"No.","Time","Source","Destination","Protocol","Length","Info"
"10892","70.370804","104.17.32.105","192.168.100.5","TCP","66","[TCP Keep-Alive ACK] 443  >  58027 [ACK] Seq=1 Ack=2 Win=137 Len=0 SLE=1 SRE=2"
"10893","71.353388","192.168.100.5","142.251.10.136","QUIC","831","Protected Payload (KP0), DCID=5d2b3ac79c2b25e7"
"10894","71.378210","142.251.10.136","192.168.100.5","QUIC","71","Protected Payload (KP0)"
"10895","71.383943","142.251.10.136","192.168.100.5","QUIC","118","Protected Payload (KP0)"
"10896","71.383943","142.251.10.136","192.168.100.5","QUIC","68","Protected Payload (KP0)"
"10897","71.384187","192.168.100.5","142.251.10.136","QUIC","78","Protected Payload (KP0), DCID=5d2b3ac79c2b25e7"
"10898","71.386117","192.168.100.5","142.251.10.121","TLSv1.2","118","Application Data"
"10899","71.386204","192.168.100.5","142.251.10.121","TLSv1.2","93","Application Data"
"10900","71.386254","192.168.100.5","142.251.10.121","TLSv1.2","122","Application Data"
"10901","71.386301","192.168.100.5","142.251.10.121","TLSv1.2","939","Application Data"
"10902","71.386341","192.168.100.5","142.251.10.121","TLSv1.2","820","Application Data"
"10903","71.386447","192.168.100.5","142.251.10.121","TLSv1.2","122","Application Data"
"10904","71.386921","192.168.100.5","142.251.10.121","TLSv1.2","724","Application Data"
"10905","71.390631","192.168.100.5","142.251.10.136","QUIC","75","Protected Payload (KP0), DCID=5d2b3ac79c2b25e7"
"10906","71.411699","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=1219 Win=65535 Len=0"
"10907","71.411978","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=1258 Win=65535 Len=0"
"10908","71.412652","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=1326 Win=65535 Len=0"
"10909","71.412975","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=2211 Win=65535 Len=0"
"10910","71.412975","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=2977 Win=65535 Len=0"
"10911","71.413122","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=3045 Win=65535 Len=0"
"10912","71.413279","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=122 Ack=3715 Win=65535 Len=0"
"10913","71.413653","142.251.10.136","192.168.100.5","QUIC","68","Protected Payload (KP0)"
"10914","71.414574","142.251.10.121","192.168.100.5","TLSv1.2","93","Application Data"
"10915","71.610081","142.251.10.121","192.168.100.5","TLSv1.2","136","Application Data"
"10916","71.610166","192.168.100.5","142.251.10.121","TCP","54","58023  >  443 [ACK] Seq=3715 Ack=243 Win=64338 Len=0"
"10917","71.611375","192.168.100.5","142.251.10.121","TLSv1.2","93","Application Data"
"10918","71.611474","192.168.100.5","142.251.10.121","TLSv1.2","89","Application Data"
"10919","71.615248","142.251.10.121","192.168.100.5","TLSv1.2","119","Application Data"
"10920","71.615248","142.251.10.121","192.168.100.5","TLSv1.2","119","Application Data"
"10921","71.615298","192.168.100.5","142.251.10.121","TCP","54","58023  >  443 [ACK] Seq=3789 Ack=373 Win=64208 Len=0"
"10922","71.616832","192.168.100.5","142.251.10.121","TLSv1.2","89","Application Data"
"10923","71.616926","192.168.100.5","142.251.10.121","TLSv1.2","89","Application Data"
"10924","71.637917","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=373 Ack=3789 Win=65535 Len=0"
"10925","71.642658","142.251.10.121","192.168.100.5","TCP","60","443  >  58023 [ACK] Seq=373 Ack=3859 Win=65535 Len=0"
"10926","73.341796","162.159.130.234","192.168.100.5","TLSv1.2","165","Application Data"
"10927","73.541701","192.168.100.5","162.159.130.234","TCP","54","58010  >  443 [ACK] Seq=109 Ack=1817 Win=253 Len=0"
"10928","74.711758","192.168.100.5","69.173.158.65","TCP","55","[TCP Keep-Alive] 58047  >  443 [ACK] Seq=1 Ack=1 Win=64952 Len=1"
"10929","74.743205","69.173.158.65","192.168.100.5","TCP","60","[TCP Keep-Alive ACK] 443  >  58047 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"10930","75.916957","192.168.100.5","103.10.124.165","UDP","126","54163  >  27019 Len=84"
"10931","76.330213","103.10.124.165","192.168.100.5","UDP","78","27019  >  54163 Len=36"
"10932","76.705880","192.168.100.5","13.33.33.77","TCP","55","[TCP Keep-Alive] 64872  >  443 [ACK] Seq=1 Ack=1 Win=64921 Len=1"
"10933","76.729891","13.33.33.77","192.168.100.5","TCP","60","[TCP Keep-Alive ACK] 443  >  64872 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"10934","76.861903","192.168.100.5","13.33.30.116","TCP","55","[TCP Keep-Alive] 64894  >  443 [ACK] Seq=1 Ack=1 Win=64952 Len=1"
"10935","76.889871","13.33.30.116","192.168.100.5","TCP","60","[TCP Keep-Alive ACK] 443  >  64894 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"10936","76.925779","192.168.100.5","66.96.224.77","QUIC","943","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"10937","76.929067","66.96.224.77","192.168.100.5","QUIC","71","Protected Payload (KP0)"
"10938","76.930875","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"10939","76.992696","66.96.224.77","192.168.100.5","QUIC","176","Protected Payload (KP0)"
"10940","76.992696","66.96.224.77","192.168.100.5","QUIC","1287","Protected Payload (KP0)"
"10941","76.992696","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10942","76.992696","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10943","76.993168","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10944","76.993168","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10945","76.993168","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10946","76.993168","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10947","76.993419","192.168.100.5","66.96.224.77","QUIC","78","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"10948","76.993824","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10949","76.993824","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10950","76.993824","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10951","76.993824","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10952","76.993824","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10953","76.994066","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"10954","76.994508","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10955","76.994508","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10956","76.994508","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10957","76.994508","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10958","76.994508","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10959","76.994508","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10960","76.995202","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10961","76.995202","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10962","76.995202","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10963","76.995202","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10964","76.995202","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10965","76.995202","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10966","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10967","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10968","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10969","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10970","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10971","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10972","76.996030","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10973","76.996478","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"10974","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10975","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10976","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10977","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10978","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10979","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10980","76.996762","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10981","76.996943","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"10982","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10983","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10984","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10985","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10986","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10987","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10988","76.997528","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10989","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10990","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10991","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10992","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10993","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10994","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10995","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10996","76.998411","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"10997","76.999197","66.96.224.77","192.168.100.5","QUIC","713","Protected Payload (KP0)"
"10998","76.999197","66.96.224.77","192.168.100.5","QUIC","1284","Protected Payload (KP0)"
"10999","76.999197","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11000","76.999197","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11001","76.999197","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11002","76.999197","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11003","76.999197","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11004","76.999197","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11005","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11006","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11007","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11008","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11009","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11010","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11011","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11012","77.000073","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11013","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11014","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11015","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11016","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11017","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11018","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11019","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11020","77.000916","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11021","77.001652","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"11022","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11023","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11024","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11025","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11026","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11027","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11028","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11029","77.001774","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11030","77.002459","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11031","77.002459","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11032","77.002459","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11033","77.002459","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11034","77.002459","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11035","77.002459","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11036","77.002582","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"11037","77.003005","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"11038","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11039","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11040","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11041","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11042","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11043","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11044","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11045","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11046","77.003478","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11047","77.003565","192.168.100.5","66.96.224.77","QUIC","75","Protected Payload (KP0), DCID=7da34b5603e1ace0"
"11048","77.004404","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11049","77.004404","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11050","77.004404","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
"11051","77.004404","66.96.224.77","192.168.100.5","QUIC","1292","Protected Payload (KP0)"
